timestamp,location_name,coordinates,lat,lon,speed,free_flow_speed,vehicle_count,confidence,road_closure,hour,minute,day_of_week,is_weekend,is_peak_hour,traffic_status,loc_encoded,target_enc
5/1/2026 0:00,Ring Road - Maadi,"29.9544,31.2858",29.9544,31.2858,66,66,8,0.916624,FALSE,0,0,4,0,0,Free_Flow,10,1
5/1/2026 0:15,October Bridge,"30.0526,31.2372",30.0526,31.2372,53,63,22,0.982404,FALSE,0,15,4,0,0,Free_Flow,9,1
5/1/2026 0:30,26th July Corridor,"30.0381,31.0264",30.0381,31.0264,42,59,6,0.999983,FALSE,0,30,4,0,0,Moderate,0,2
5/1/2026 0:45,Abbas El Akkad,"30.0631,31.3341",30.0631,31.3341,66,77,47,0.967854,FALSE,0,45,4,0,0,Free_Flow,1,1
5/1/2026 1:00,Galaa Square,"30.0398,31.2188",30.0398,31.2188,37,79,26,0.937857,FALSE,1,0,4,0,0,Moderate,5,2
5/1/2026 1:15,Salah Salem,"30.0645,31.282",30.0645,31.282,53,61,27,0.929527,FALSE,1,15,4,0,0,Free_Flow,14,1
5/1/2026 1:30,Autostrad - Sheraton,"30.1065,31.3711",30.1065,31.3711,46,67,45,0.890732,FALSE,1,30,4,0,0,Moderate,2,2
5/1/2026 1:45,Tahrir Square,"30.0444,31.2357",30.0444,31.2357,73,73,11,0.855849,FALSE,1,45,4,0,0,Free_Flow,16,1
5/1/2026 2:00,Corniche El Nil,"30.0263,31.2268",30.0263,31.2268,58,80,22,0.935296,FALSE,2,0,4,0,0,Free_Flow,3,1
5/1/2026 2:15,Mosheer Tantawy Axis,"30.0242,31.3486",30.0242,31.3486,57,66,37,0.962666,FALSE,2,15,4,0,0,Free_Flow,7,1
5/1/2026 2:30,Rod El Farag Axis,"30.0881,31.2185",30.0881,31.2185,53,62,40,0.876117,FALSE,2,30,4,0,0,Free_Flow,13,1
5/1/2026 2:45,Ring Road - Marg,"30.1554,31.3323",30.1554,31.3323,54,79,8,0.875785,FALSE,2,45,4,0,0,Free_Flow,11,1
5/1/2026 3:00,Ring Road - Moneeb,"29.9881,31.2227",29.9881,31.2227,51,66,46,0.950767,FALSE,3,0,4,0,0,Free_Flow,12,1
5/1/2026 3:15,Gamaat El Dowal St,"30.0543,31.2005",30.0543,31.2005,55,59,14,0.947783,FALSE,3,15,4,0,0,Free_Flow,6,1
5/1/2026 3:30,Faisal Street,"30.0051,31.1574",30.0051,31.1574,54,79,46,0.937941,FALSE,3,30,4,0,0,Free_Flow,4,1
5/1/2026 3:45,North 90th Street,"30.0308,31.4721",30.0308,31.4721,37,72,34,0.9423,FALSE,3,45,4,0,0,Moderate,8,2
5/1/2026 4:00,South 90th Street,"30.0195,31.4326",30.0195,31.4326,57,66,5,0.969576,FALSE,4,0,4,0,0,Free_Flow,15,1
5/1/2026 4:15,Ring Road - Maadi,"29.9544,31.2858",29.9544,31.2858,53,73,14,0.894678,FALSE,4,15,4,0,0,Free_Flow,10,1
5/1/2026 4:30,October Bridge,"30.0526,31.2372",30.0526,31.2372,36,73,13,0.916235,FALSE,4,30,4,0,0,Moderate,9,2
5/1/2026 4:45,26th July Corridor,"30.0381,31.0264",30.0381,31.0264,54,75,44,0.910934,FALSE,4,45,4,0,0,Free_Flow,0,1
5/1/2026 5:00,Abbas El Akkad,"30.0631,31.3341",30.0631,31.3341,71,71,38,0.855747,FALSE,5,0,4,0,0,Free_Flow,1,1
5/1/2026 5:15,Galaa Square,"30.0398,31.2188",30.0398,31.2188,35,62,24,0.930007,FALSE,5,15,4,0,0,Moderate,5,2
5/1/2026 5:30,Salah Salem,"30.0645,31.282",30.0645,31.282,67,79,6,0.980271,FALSE,5,30,4,0,0,Free_Flow,14,1
5/1/2026 5:45,Autostrad - Sheraton,"30.1065,31.3711",30.1065,31.3711,73,74,17,0.874355,FALSE,5,45,4,0,0,Free_Flow,2,1
5/1/2026 6:00,Tahrir Square,"30.0444,31.2357",30.0444,31.2357,74,74,49,0.852358,FALSE,6,0,4,0,0,Free_Flow,16,1
5/1/2026 6:15,Corniche El Nil,"30.0263,31.2268",30.0263,31.2268,60,79,15,0.90214,FALSE,6,15,4,0,0,Free_Flow,3,1
5/1/2026 6:30,Mosheer Tantawy Axis,"30.0242,31.3486",30.0242,31.3486,44,65,6,0.864627,FALSE,6,30,4,0,0,Moderate,7,2
5/1/2026 6:45,Rod El Farag Axis,"30.0881,31.2185",30.0881,31.2185,72,80,27,0.979532,FALSE,6,45,4,0,0,Free_Flow,13,1
5/1/2026 7:00,Ring Road - Marg,"30.1554,31.3323",30.1554,31.3323,46,63,10,0.916266,FALSE,7,0,4,0,1,Moderate,11,2
5/1/2026 7:15,Ring Road - Moneeb,"29.9881,31.2227",29.9881,31.2227,61,66,15,0.882334,FALSE,7,15,4,0,1,Free_Flow,12,1
5/1/2026 7:30,Gamaat El Dowal St,"30.0543,31.2005",30.0543,31.2005,50,66,24,0.850347,FALSE,7,30,4,0,1,Free_Flow,6,1
5/1/2026 7:45,Faisal Street,"30.0051,31.1574",30.0051,31.1574,67,73,42,0.93173,FALSE,7,45,4,0,1,Free_Flow,4,1
5/1/2026 8:00,North 90th Street,"30.0308,31.4721",30.0308,31.4721,36,64,21,0.878119,FALSE,8,0,4,0,1,Moderate,8,2
5/1/2026 8:15,South 90th Street,"30.0195,31.4326",30.0195,31.4326,62,74,39,0.853069,FALSE,8,15,4,0,1,Free_Flow,15,1
5/1/2026 8:30,Ring Road - Maadi,"29.9544,31.2858",29.9544,31.2858,75,75,32,0.96325,FALSE,8,30,4,0,1,Free_Flow,10,1
5/1/2026 8:45,October Bridge,"30.0526,31.2372",30.0526,31.2372,55,65,34,0.85379,FALSE,8,45,4,0,1,Free_Flow,9,1
